Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP-InRays Final (mm),ARAP-InRays Initial (mm),ARAP-TwoPoints Final (mm),ARAP-TwoPoints Initial (mm),ARAP-FarPoints Final (mm),ARAP-FarPoints Initial (mm),Elastic-InRays Final (mm),Elastic-InRays Initial (mm),Elastic-TwoPoints Final (mm),Elastic-TwoPoints Initial (mm),Elastic-FarPoints Final (mm),Elastic-FarPoints Initial (mm),HyperElasticOdgen-InRays Final (mm),HyperElasticOdgen-InRays Initial (mm),HyperElasticOdgen-TwoPoints Final (mm),HyperElasticOdgen-TwoPoints Initial (mm),HyperElasticOdgen-FarPoints Final (mm),HyperElasticOdgen-FarPoints Initial (mm),ARAP_NoGlobal-InRays Final (mm),ARAP_NoGlobal-InRays Initial (mm),ARAP_NoGlobal-TwoPoints Final (mm),ARAP_NoGlobal-TwoPoints Initial (mm),ARAP_NoGlobal-FarPoints Final (mm),ARAP_NoGlobal-FarPoints Initial (mm)
"3,78",Planar,"2,5",0,"10,77","10,86","10,83","10,83","10,61","11,28","10,84","10,86","10,82","10,83","11,01","11,28","10,85","10,86","10,82","10,83","10,89","11,28","10,82","10,86","10,83","10,83","12,35","11,28"
"2,50",Planar,0,"2,5","7,56","7,71","7,58","7,61","8,03","8,12","7,59","7,71","7,59","7,61","7,79","8,12","7,57","7,71","7,58","7,61","7,61","8,12","7,60","7,71","7,57","7,61","8,55","8,12"
"4,70",Planar,"2,5","2,5","10,80","10,88","10,85","10,89","10,58","11,26","10,86","10,88","10,85","10,89","11,17","11,26","10,83","10,88","10,84","10,89","10,85","11,26","10,86","10,88","10,84","10,89","11,06","11,26"
"16,37",Planar,10,0,"26,48","26,01","26,44","26,89","27,18","26,96","29,07","26,01","27,16","26,89","27,42","26,96","41,03","26,01","38,81","26,89","43,87","26,96","28,94","26,01","27,47","26,89","27,44","26,96"
"10,00",Planar,0,10,"14,13","14,21","14,16","14,51","14,21","14,80","14,13","14,21","14,20","14,51","14,57","14,80","14,11","14,21","14,10","14,51","14,11","14,80","14,09","14,21","14,12","14,51","14,17","14,80"
"20,06",Planar,10,10,"37,88","37,62","37,93","38,52","36,74","38,65","39,44","37,62","37,97","38,52","38,88","38,65","42,30","37,62","41,29","38,52","42,09","38,65","37,94","37,62","38,31","38,52","37,09","38,65"
"23,44",Gradual,0,"2,5","28,11","29,70","28,86","30,99","28,01","31,15","29,59","29,70","29,86","30,99","29,58","31,15","29,51","29,70","29,64","30,99","28,56","31,15","29,29","29,70","29,55","30,99","28,91","31,15"
"24,95",Gradual,"2,5","2,5","31,74","33,00","31,95","34,36","31,06","34,55","32,96","33,00","33,19","34,36","33,15","34,55","32,86","33,00","32,96","34,36","32,64","34,55","32,31","33,00","32,94","34,36","31,70","34,55"
"46,08",Gradual,0,10,"49,89","51,90","50,24","55,75","49,95","55,43","51,87","51,90","52,33","55,75","51,68","55,43","52,57","51,90","51,02","55,75","50,43","55,43","50,79","51,90","52,03","55,75","51,48","55,43"
"47,29",Gradual,10,10,"57,31","59,09","57,63","62,38","52,95","62,26","59,27","59,09","59,51","62,38","59,38","62,26","58,56","59,09","80,21","62,38","59,45","62,26","58,63","59,09","58,96","62,38","54,46","62,26"
"4,06",Planar,"2,5",0,"18,20","18,35","18,16","18,16","18,08","19,08","18,25","18,35","18,15","18,16","18,62","19,08","18,18","18,35","18,16","18,16","18,08","19,08","18,36","18,35","18,15","18,16","18,14","19,08"
"2,50",Planar,0,"2,5","17,83","18,26","18,01","18,03","17,35","18,96","18,06","18,26","18,02","18,03","18,31","18,96","18,00","18,26","18,02","18,03","17,99","18,96","17,93","18,26","18,00","18,03","17,76","18,96"
"4,55",Planar,"2,5","2,5","20,12","20,41","20,21","20,23","19,63","21,18","20,26","20,41","20,21","20,23","20,56","21,18","20,19","20,41","20,22","20,23","20,22","21,18","20,14","20,41","20,20","20,23","20,13","21,18"
"15,37",Planar,10,0,"42,23","42,05","42,30","42,33","42,13","42,92","42,49","42,05","42,27","42,33","43,07","42,92","42,37","42,05","42,32","42,33","42,56","42,92","41,99","42,05","42,30","42,33","38,90","42,92"
"10,00",Planar,0,10,"20,52","20,80","20,59","20,93","20,28","21,75","20,62","20,80","19,83","20,16","21,21","21,75","20,60","20,80","20,59","20,93","20,57","21,75","20,42","20,80","20,59","20,93","20,52","21,75"
"19,26",Planar,10,10,"45,68","45,62","46,03","46,17","44,56","46,56","45,75","45,62","45,92","46,17","46,26","46,56","45,97","45,62","46,00","46,17","46,12","46,56","45,53","45,62","45,99","46,17","44,43","46,56"
"45,63",Gradual,0,"2,5","69,10","70,31","69,68","73,63","68,98","73,60","70,25","70,31","70,64","73,63","70,26","73,60","70,14","70,31","70,38","73,63","70,04","73,60","69,86","70,31","70,24","73,63","69,11","73,60"
"43,22",Gradual,"2,5","2,5","72,42","74,27","73,01","76,48","71,79","76,91","74,17","74,27","74,52","76,48","74,25","76,91","73,07","74,27","73,81","76,48","72,74","76,91","73,67","74,27","74,14","76,48","72,80","76,91"
"81,00",Gradual,0,10,"108,64","109,68","109,41","116,12","106,89","115,84","109,55","109,68","109,75","116,12","108,76","115,84","107,40","109,68","107,01","116,12","107,84","115,84","107,82","109,68","108,53","116,12","107,46","115,84"
"85,86",Gradual,10,10,"114,12","117,67","114,81","124,78","114,04","124,73","118,01","117,67","117,97","124,78","117,61","124,73","117,58","117,67","115,04","124,78","114,11","124,73","116,93","117,67","117,74","124,78","117,15","124,73"
